Teks Berita,Label,Sumber
"[PENIPUAN] Tautan Lowongan Kerja Djarum Group
Faktanya, tautan tersebut bukan saluran resmi...",Hoax,TurnBackHoax
[PENIPUAN] Tautan Lowongan Kerja Djarum Group,Hoax,TurnBackHoax
"[SALAH] Video ""Gempa Susulan Guncang Pulau Flores...
Faktanya, video tersebut merupakan rekaman pergeseran...",Hoax,TurnBackHoax
"[SALAH] Video ""Gempa Susulan Guncang Pulau Flores...",Hoax,TurnBackHoax
"[PENIPUAN] Tautan Pendaftaran Beasiswa Unggulan 2026 dari...
Faktanya, tautan tersebut bukan berasal dari...",Hoax,TurnBackHoax
[PENIPUAN] Tautan Pendaftaran Beasiswa Unggulan 2026 dari...,Hoax,TurnBackHoax
"[PENIPUAN] Tautan Pendaftaran Magang di Kementerian Keuangan
Faktanya, tautan tidak mengarah ke situs...",Hoax,TurnBackHoax
[PENIPUAN] Tautan Pendaftaran Magang di Kementerian Keuangan,Hoax,TurnBackHoax
"[PENIPUAN] Tautan Pendaftaran Lowongan Indosat Ooredoo
Faktanya, pendaftaran kerja di Indosat Ooredoo...",Hoax,TurnBackHoax
[PENIPUAN] Tautan Pendaftaran Lowongan Indosat Ooredoo,Hoax,TurnBackHoax
"[SALAH] Darurat Tsunami di Pesisir Banten dan...
Gunung Anak Krakatau memang mengalami erupsi...",Hoax,TurnBackHoax
[SALAH] Darurat Tsunami di Pesisir Banten dan...,Hoax,TurnBackHoax
"[SALAH] Imbauan untuk Tidak Menampung Air Hujan...
Faktanya, BMKG Kalimantan Barat menegaskan tidak...",Hoax,TurnBackHoax
[SALAH] Imbauan untuk Tidak Menampung Air Hujan...,Hoax,TurnBackHoax
"[SALAH] Zulhas Temukan Bukti MBG Sengaja Diracun...
Faktanya, Zulhas hanya mengatakan jika kasus...",Hoax,TurnBackHoax
[SALAH] Zulhas Temukan Bukti MBG Sengaja Diracun...,Hoax,TurnBackHoax
"[SALAH] Anies Baswedan Menolak RUU Perampasan Aset
Tidak ditemukan pemberitaan atau sumber kredibel...",Hoax,TurnBackHoax
[SALAH] Anies Baswedan Menolak RUU Perampasan Aset,Hoax,TurnBackHoax
"[SALAH] Prabowo Tetapkan 30 September Libur Nasional,...
Faktanya, tidak ada bukti jika benar...",Hoax,TurnBackHoax
"[SALAH] Prabowo Tetapkan 30 September Libur Nasional,...",Hoax,TurnBackHoax
"[PENIPUAN] Video Megawati Membagikan Dana Bantuan Modal...
Faktanya, video yang beredar dimanipulasi dengan...",Hoax,TurnBackHoax
[PENIPUAN] Video Megawati Membagikan Dana Bantuan Modal...,Hoax,TurnBackHoax
"[SALAH] World Bank: Indonesia Negara Berkembang Termiskin...
Faktanya, World Bank tidak pernah menyatakan...",Hoax,TurnBackHoax
[SALAH] World Bank: Indonesia Negara Berkembang Termiskin...,Hoax,TurnBackHoax
"[SALAH] Perbatasan RI-Malaysia Resmi Ditutup karena Pilot...
Faktanya, hingga saat ini, tidak ada...",Hoax,TurnBackHoax
[SALAH] Perbatasan RI-Malaysia Resmi Ditutup karena Pilot...,Hoax,TurnBackHoax
"[SALAH] Erupsi Gunung di Indonesia Berkaitan dengan...
Faktanya, gelombang radio dari HAARP yang...",Hoax,TurnBackHoax
[SALAH] Erupsi Gunung di Indonesia Berkaitan dengan...,Hoax,TurnBackHoax
"[PENIPUAN] Kontak “Pendaftaran Bantuan dari Bank Indonesia”
Unggahan video berisi kontak “pendaftaran dana...",Hoax,TurnBackHoax
[PENIPUAN] Kontak “Pendaftaran Bantuan dari Bank Indonesia”,Hoax,TurnBackHoax
"[PENIPUAN] Tautan Lowongan Kerja Deloitte Indonesia
Faktanya, tautan tidak mengarah ke laman...",Hoax,TurnBackHoax
[PENIPUAN] Tautan Lowongan Kerja Deloitte Indonesia,Hoax,TurnBackHoax
"[SALAH] Hotel Shangri-La Surabaya Dijual Rp2,3 T
Faktanya, pihak Hotel Shangri-La Surabaya telah...",Hoax,TurnBackHoax
"[SALAH] Hotel Shangri-La Surabaya Dijual Rp2,3 T",Hoax,TurnBackHoax
"[SALAH] Kebakaran Hutan Kalimantan Merambat ke Permukiman...
Faktanya, foto tersebut terjadi di tahun...",Hoax,TurnBackHoax
[SALAH] Kebakaran Hutan Kalimantan Merambat ke Permukiman...,Hoax,TurnBackHoax
"[SALAH] Vaksin Cacar Air Sebabkan Pandemi Shingles
Faktanya, bukti ilmiah menunjukkan bahwa anak...",Hoax,TurnBackHoax
[SALAH] Vaksin Cacar Air Sebabkan Pandemi Shingles,Hoax,TurnBackHoax
"[PENIPUAN] Kontak “Pendaftaran Dana Bantuan” dari Menko...
Video yang beredar adalah hasil rekayasa...",Hoax,TurnBackHoax
[PENIPUAN] Kontak  “Pendaftaran Dana Bantuan” dari Menko...,Hoax,TurnBackHoax
"[PENIPUAN] Bantuan Pemerintah untuk Rakyat Umur 40-70...
Faktanya, tidak ditemukan informasi kredibel yang...",Hoax,TurnBackHoax
[PENIPUAN] Bantuan Pemerintah untuk Rakyat Umur 40-70...,Hoax,TurnBackHoax
"[SALAH] Rombongan Aksi 27 Agustus 2026 Terima...
Faktanya, berdasarkan rekam jejak aktivitas di...",Hoax,TurnBackHoax
[SALAH] Rombongan Aksi 27 Agustus 2026 Terima...,Hoax,TurnBackHoax
"[SALAH] Sejumlah Santri di Sidoarjo Meninggal Akibat...
Bupati Sidoarjo menegaskan tidak ada korban...",Hoax,TurnBackHoax
[SALAH] Sejumlah Santri di Sidoarjo Meninggal Akibat...,Hoax,TurnBackHoax
"[PENIPUAN] Pendaftaran Bantuan Dana Presiden
Konten yang beredar adalah hasil rekayasa...",Hoax,TurnBackHoax
[PENIPUAN] Pendaftaran Bantuan Dana Presiden,Hoax,TurnBackHoax
"[PENIPUAN] Pendaftaran Dana Bantuan dari Menteri Pendidikan
Konten yang beredar adalah hasil rekayasa...",Hoax,TurnBackHoax
[PENIPUAN] Pendaftaran Dana Bantuan dari Menteri Pendidikan,Hoax,TurnBackHoax
"[PENIPUAN] Tautan Undian Berhadiah Wondr BNI
Unggahan berisi tautan “undian berhadian Wondr...",Hoax,TurnBackHoax
[PENIPUAN] Tautan Undian Berhadiah Wondr BNI,Hoax,TurnBackHoax
"[PENIPUAN] Tautan Pendaftaran Lowongan Kerja Yupi Indo...
Faktanya, tautan tidak mengarah ke laman...",Hoax,TurnBackHoax
[PENIPUAN] Tautan Pendaftaran Lowongan Kerja Yupi Indo...,Hoax,TurnBackHoax
"[PENIPUAN] Tautan Pendaftaran Magang Setjen DPR RI...
Faktanya, tautan tidak mengarah ke situs...",Hoax,TurnBackHoax
[PENIPUAN] Tautan Pendaftaran Magang Setjen DPR RI...,Hoax,TurnBackHoax
"[PENIPUAN] Tautan Pendaftaran Lowongan Damkar, Satpol PP,...
Faktanya, pendaftaran Damkar, Satpol PP, dan...",Hoax,TurnBackHoax
"[PENIPUAN] Tautan Pendaftaran Lowongan Damkar, Satpol PP,...",Hoax,TurnBackHoax
"[PENIPUAN] Tautan Undian Berhadiah Bank Sumsel Babel...
Faktanya, tautan tidak mengarah ke laman...",Hoax,TurnBackHoax
[PENIPUAN] Tautan Undian Berhadiah Bank Sumsel Babel...,Hoax,TurnBackHoax
"[PENIPUAN] Wayan Koster Bagi-Bagi Dana Bantuan
Faktanya, akun “wyn kstr” yang digunakan...",Hoax,TurnBackHoax
[PENIPUAN] Wayan Koster Bagi-Bagi Dana Bantuan,Hoax,TurnBackHoax
"[PENIPUAN] Video “Sri Mulyani Tawarkan Modal Usaha...
Audio dalam video yang beredar adalah...",Hoax,TurnBackHoax
[PENIPUAN] Video “Sri Mulyani Tawarkan Modal Usaha...,Hoax,TurnBackHoax
"[PENIPUAN] Tautan Pendaftaran Sekolah Kedinasan 2026
Faktanya, tautan tersebut bukan saluran resmi...",Hoax,TurnBackHoax
[PENIPUAN] Tautan Pendaftaran Sekolah Kedinasan 2026,Hoax,TurnBackHoax
"[SALAH] Pulau Menjangan Kecil Dijual Rp500 Miliar
Faktanya, Pemerintah Kabupaten Jepara menegaskan bahwa...",Hoax,TurnBackHoax
[SALAH] Pulau Menjangan Kecil Dijual Rp500 Miliar,Hoax,TurnBackHoax
"[SALAH] Mau Hemat Dana, Pemerintah Tolak Keluarkan...
Faktanya, tidak ada penolakan dari pemerintah...",Hoax,TurnBackHoax
"[SALAH] Mau Hemat Dana, Pemerintah Tolak Keluarkan...",Hoax,TurnBackHoax
"[SALAH] Bayi di Jepara Meninggal Usai Imunisasi...
Faktanya, hasil pemeriksaan dokter, bayi meninggal...",Hoax,TurnBackHoax
[SALAH] Bayi di Jepara Meninggal Usai Imunisasi...,Hoax,TurnBackHoax
"[PENIPUAN] Tautan Undian Berhadiah Bank Riau Kepri...
Faktanya, konten merupakan hasil rekayasa AI,...",Hoax,TurnBackHoax
[PENIPUAN] Tautan Undian Berhadiah Bank Riau Kepri...,Hoax,TurnBackHoax
"[PENIPUAN] Video “Dedi Mulyadi Bagi-Bagi Dana Bantuan”
Audio dalam video yang beredar adalah...",Hoax,TurnBackHoax
[PENIPUAN] Video “Dedi Mulyadi Bagi-Bagi Dana Bantuan”,Hoax,TurnBackHoax
"[SALAH] Video ""Rombongan Bus dari Palembang ke...
Faktanya, video rombongan bus tersebut merupakan...",Hoax,TurnBackHoax
"[SALAH] Video ""Rombongan Bus dari Palembang ke...",Hoax,TurnBackHoax
"[SALAH] Video ""Suasana Malam Tanggal 27 Agustus...
Faktanya, video tersebut merupakan dokumentasi Pesta...",Hoax,TurnBackHoax
"[SALAH] Video ""Suasana Malam Tanggal 27 Agustus...",Hoax,TurnBackHoax
"[SALAH] Mualem Minta Aceh Pisah dari NKRI
Faktanya, tidak ditemukan informasi kredibel yang...",Hoax,TurnBackHoax
[SALAH] Mualem Minta Aceh Pisah dari NKRI,Hoax,TurnBackHoax
"[SALAH] Gunung Lewotobi Laki-Laki Erupsi Usai Gempa...
Faktanya, video tersebut merupakan rekaman erupsi...",Hoax,TurnBackHoax
[SALAH] Gunung Lewotobi Laki-Laki Erupsi Usai Gempa...,Hoax,TurnBackHoax
"[SALAH] Foto “Kebakaran Hutan Kalimantan Merambat ke...
Faktanya, kebakaran tersebut melanda gedung hunian...",Hoax,TurnBackHoax
[SALAH] Foto “Kebakaran Hutan Kalimantan Merambat ke...,Hoax,TurnBackHoax
"[SALAH] Pramono Anung Larang Warga Non-DKI Kerja...
Faktanya, ketentuan KTP DKI Jakarta tersebut...",Hoax,TurnBackHoax
[SALAH] Pramono Anung Larang Warga Non-DKI Kerja...,Hoax,TurnBackHoax
"[SALAH] Efek Samping Vaksin DPT Daptacel Sengaja...
Faktanya, dokumen sumber tangkapan layar bersifat...",Hoax,TurnBackHoax
[SALAH] Efek Samping Vaksin DPT Daptacel Sengaja...,Hoax,TurnBackHoax
"[SALAH] Video “Rombongan Bus Santri Tebuireng Ikut...
Faktanya, tidak ditemukan pemberitaan kredibel tentang...",Hoax,TurnBackHoax
[SALAH] Video “Rombongan Bus Santri Tebuireng Ikut...,Hoax,TurnBackHoax
"[SALAH] Cek Kesehatan Gratis Itu Agenda Plandemi...
Faktanya, program Cek Kesehatan Gratis merupakan...",Hoax,TurnBackHoax
[SALAH] Cek Kesehatan Gratis Itu Agenda Plandemi...,Hoax,TurnBackHoax
"[SALAH] Menteri Agama RI Nasaruddin Umar Mengundurkan...
Faktanya, tidak ditemukan informasi kredibel yang...",Hoax,TurnBackHoax
[SALAH] Menteri Agama RI Nasaruddin Umar Mengundurkan...,Hoax,TurnBackHoax
"[SALAH] Prabowo Instruksikan PPh 21 Dipotong 35%...
Faktanya, melalui akun Instagram resminya, Ditjen...",Hoax,TurnBackHoax
[SALAH] Prabowo Instruksikan PPh 21 Dipotong 35%...,Hoax,TurnBackHoax
"[SALAH] Demi MBG, Ratusan BUMN Bakal Ditutup...
Tidak ditemukan informasi kredibel yang membenarkan...",Hoax,TurnBackHoax
"[SALAH] Demi MBG, Ratusan BUMN Bakal Ditutup...",Hoax,TurnBackHoax
"[SALAH] Video ""Persiapan Demo 27 Agustus 2026,...
Faktanya, video yang dibagikan adalah video...",Hoax,TurnBackHoax
"[SALAH] Video ""Persiapan Demo 27 Agustus 2026,...",Hoax,TurnBackHoax
"[SALAH] Bahlil Sebut Rakyat Minta Harga BBM...
Tidak ditemukan pernyataan resmi yang membenarkan...",Hoax,TurnBackHoax
[SALAH] Bahlil Sebut Rakyat Minta Harga BBM...,Hoax,TurnBackHoax
"[PENIPUAN] Tautan Pendaftaran Program Indonesia Pintar (PIP)
Faktanya, tautan tersebut bukan saluran resmi...",Hoax,TurnBackHoax
[PENIPUAN] Tautan Pendaftaran Program Indonesia Pintar (PIP),Hoax,TurnBackHoax
"[PENIPUAN] Tautan ""Voucer Hari Kemerdekaan"" dari Indomaret
Faktanya, tautan voucer hari kemerdekaan tersebut...",Hoax,TurnBackHoax
"[PENIPUAN] Tautan ""Voucer Hari Kemerdekaan"" dari Indomaret",Hoax,TurnBackHoax
"[SALAH] DPR Buat RUU Larangan Membeli Rokok
Faktanya, DPR belum membuat RUU berkaitan...",Hoax,TurnBackHoax
[SALAH] DPR Buat RUU Larangan Membeli Rokok,Hoax,TurnBackHoax
"[PENIPUAN] Tautan Pendaftaran Bantuan Sejahtera Purna Bakti...
Faktanya, tautan yang beredar terindikasi phising/penipuan...",Hoax,TurnBackHoax
[PENIPUAN] Tautan Pendaftaran Bantuan Sejahtera Purna Bakti...,Hoax,TurnBackHoax
"[SALAH] Dokumentasi ""Tentara PBB Jaga Keamanan Aceh""
Faktanya, konten yang beredar merupakan hasil...",Hoax,TurnBackHoax
"[SALAH] Dokumentasi ""Tentara PBB Jaga Keamanan Aceh""",Hoax,TurnBackHoax
"[PENIPUAN] Tautan Pendaftaran Dosen dan Guru Pamong...
Faktanya, tautan tidak mengarah ke laman...",Hoax,TurnBackHoax
[PENIPUAN] Tautan Pendaftaran Dosen dan Guru Pamong...,Hoax,TurnBackHoax
"[SALAH] Video ""Rakyat NTT dan Aceh ke...
Konteks asli dokumentasi adalah momen aksi...",Hoax,TurnBackHoax
"[SALAH] Video ""Rakyat NTT dan Aceh ke...",Hoax,TurnBackHoax
"[SALAH] Video ""Gedung Ambruk saat Gempa Magnitudo...
Faktanya, video yang dibagikan adalah rekaman...",Hoax,TurnBackHoax
"[SALAH] Video ""Gedung Ambruk saat Gempa Magnitudo...",Hoax,TurnBackHoax
"[SALAH] Indonesia Resmi Keluar dari Keanggotaan World...
Faktanya, tidak ada pernyataan resmi Indonesia...",Hoax,TurnBackHoax
[SALAH] Indonesia Resmi Keluar dari Keanggotaan World...,Hoax,TurnBackHoax
"[SALAH] Dukcapil Melarang Nama Anak dari Inspirasi...
Faktanya, Dukcapil tidak membuat aturan baru...",Hoax,TurnBackHoax
[SALAH] Dukcapil Melarang Nama Anak dari Inspirasi...,Hoax,TurnBackHoax
"[SALAH] Kantor IMF di Indonesia Ditutup TNI-Polri
Faktanya, tidak ditemukan pemberitaan yang membenarkan...",Hoax,TurnBackHoax
[SALAH] Kantor IMF di Indonesia Ditutup TNI-Polri,Hoax,TurnBackHoax
"[PENIPUAN] Pendaftaran Lowongan Kerja Family Mart
Faktanya, tautan tidak mengarah ke laman...",Hoax,TurnBackHoax
[PENIPUAN] Pendaftaran Lowongan Kerja Family Mart,Hoax,TurnBackHoax
"[PENIPUAN] Tautan Pendaftaran “SIM Gratis Spesial HUT...
Faktanya, Korlantas Polri tidak pernah mengadakan...",Hoax,TurnBackHoax
[PENIPUAN] Tautan Pendaftaran “SIM Gratis Spesial HUT...,Hoax,TurnBackHoax
"[SALAH] BGN Minta SPPG Jadi Penyuplai Makanan...
Faktanya, tidak ditemukan informasi resmi maupun...",Hoax,TurnBackHoax
[SALAH] BGN Minta SPPG Jadi Penyuplai Makanan...,Hoax,TurnBackHoax
"[SALAH] Dadan Hindayana Mengaku Uang Korupsinya Dibagi...
Tidak ditemukan informasi valid dari pemberitaan...",Hoax,TurnBackHoax
[SALAH] Dadan Hindayana Mengaku Uang Korupsinya Dibagi...,Hoax,TurnBackHoax
"[SALAH] Aceh Berpisah dari Indonesia
Tidak ditemukan informasi valid atau pemberitaan...",Hoax,TurnBackHoax
[SALAH] Aceh Berpisah dari Indonesia,Hoax,TurnBackHoax
"[PENIPUAN] Pendaftaran Rekrutmen Astra Agro Lestari Lewat...
Faktanya, pendaftaran lowongan kerja dan proses...",Hoax,TurnBackHoax
[PENIPUAN] Pendaftaran Rekrutmen Astra Agro Lestari Lewat...,Hoax,TurnBackHoax
"[PENIPUAN] Gambar Pendaftaran Lowongan Kerja Japfa Indonesia
Faktanya, pendaftaran lowongan kerja hanya dilakukan...",Hoax,TurnBackHoax
[PENIPUAN] Gambar Pendaftaran Lowongan Kerja Japfa Indonesia,Hoax,TurnBackHoax
"[SALAH] Dokumentasi ""Aksi Demo di Aceh dan...
Faktanya, dokumentasi tersebut tidak ada kaitannya...",Hoax,TurnBackHoax
"[SALAH] Dokumentasi ""Aksi Demo di Aceh dan...",Hoax,TurnBackHoax
"[SALAH] Prabowo Bakal Perintahkan TNI-Polri Tangkap Semua...
Faktanya, tidak ada bukti jika benar...",Hoax,TurnBackHoax
[SALAH] Prabowo Bakal Perintahkan TNI-Polri Tangkap Semua...,Hoax,TurnBackHoax
"[PENIPUAN] WhatsApp Pendaftaran Bantuan Beras dari Pemerintah
Faktanya, tautan kanal WhatsApp tersebut bukan...",Hoax,TurnBackHoax
[PENIPUAN] WhatsApp Pendaftaran Bantuan Beras dari Pemerintah,Hoax,TurnBackHoax
"[SALAH] Honda Resmi Keluar dari Indonesia karena...
Faktanya, artikel CNBC hanya menyoroti penutupan...",Hoax,TurnBackHoax
[SALAH] Honda Resmi Keluar dari Indonesia karena...,Hoax,TurnBackHoax
"[PENIPUAN] Tautan “Pendaftaran UMKM di IKN”
Faktanya, tautan tidak mengarah ke situs...",Hoax,TurnBackHoax
[PENIPUAN] Tautan “Pendaftaran UMKM di IKN”,Hoax,TurnBackHoax
"[SALAH] Pemerintah Tetapkan Aceh Darurat Operasi Militer...
Faktanya, tangkapan layar artikel yang mengatasnamakan...",Hoax,TurnBackHoax
[SALAH] Pemerintah Tetapkan Aceh Darurat Operasi Militer...,Hoax,TurnBackHoax
"[PENIPUAN] Undian Berhadiah BRI Sambut HUT ke-81...
Faktanya, tautan undian berhadiah tersebut bukan...",Hoax,TurnBackHoax
[PENIPUAN] Undian Berhadiah BRI Sambut HUT ke-81...,Hoax,TurnBackHoax
"[SALAH] Snack Luppo Produk Israel Mengandung Pil...
Faktanya, video tersebut kemungkinan besar direkam...",Hoax,TurnBackHoax
[SALAH] Snack Luppo Produk Israel Mengandung Pil...,Hoax,TurnBackHoax
"[SALAH] KPK Menyita Delapan Rumah Mewah Gubernur...
Faktanya, tidak ada bukti jika benar...",Hoax,TurnBackHoax
[SALAH] KPK Menyita Delapan Rumah Mewah Gubernur...,Hoax,TurnBackHoax
"[SALAH] Infografis Sistem Desil Terbaru 2026
Faktanya, Kemensos menegaskan tidak membuat infografis...",Hoax,TurnBackHoax
[SALAH] Infografis Sistem Desil Terbaru 2026,Hoax,TurnBackHoax
"[SALAH] Prabowo Terbitkan Perpu Pemiskinan Koruptor
Faktanya, tidak ditemukan informasi kredibel yang...",Hoax,TurnBackHoax
[SALAH] Prabowo Terbitkan Perpu Pemiskinan Koruptor,Hoax,TurnBackHoax
"[SALAH] NHS Pertimbangkan ""Menonton Premier League"" sebagai...
Faktanya, program yang dimaksud merupakan proyek...",Hoax,TurnBackHoax
"[SALAH] NHS Pertimbangkan ""Menonton Premier League"" sebagai...",Hoax,TurnBackHoax
"[SALAH] Vaksin HPV Bikin Anak Laki-Laki Impoten
Faktanya, vaksin HPV justru melindungi dari...",Hoax,TurnBackHoax
[SALAH] Vaksin HPV Bikin Anak Laki-Laki Impoten,Hoax,TurnBackHoax
"[SALAH] Rektor UGM Ditangkap Imbas Kasus Ijazah...
Faktanya, tidak ditemukan pemberitaan kredibel yang...",Hoax,TurnBackHoax
[SALAH] Rektor UGM Ditangkap Imbas Kasus Ijazah...,Hoax,TurnBackHoax
"[SALAH] Vaksin HPV Sebabkan HIV
Faktanya, HIV ditularkan melalui paparan tertentu...",Hoax,TurnBackHoax
[SALAH] Vaksin HPV Sebabkan HIV,Hoax,TurnBackHoax
"[PENIPUAN] Bank Indonesia Cairkan Dana Hibah untuk...
Konten yang beredar adalah hasil rekayasa...",Hoax,TurnBackHoax
[PENIPUAN] Bank Indonesia Cairkan Dana Hibah untuk...,Hoax,TurnBackHoax
"[PENIPUAN] Pendaftaran “Dana Bantuan dari Bupati Bangkalan”
Konten yang beredar adalah hasil rekayasa...",Hoax,TurnBackHoax
[PENIPUAN] Pendaftaran “Dana Bantuan dari Bupati Bangkalan”,Hoax,TurnBackHoax
"[PENIPUAN] Pendaftaran Bantuan Sepeda Listrik untuk Anak...
Faktanya, video merupakan hasil manipulasi AI...",Hoax,TurnBackHoax
[PENIPUAN] Pendaftaran Bantuan Sepeda Listrik untuk Anak...,Hoax,TurnBackHoax
"[SALAH] DJP Pungut Pajak Masyarakat yang Jogging...
Faktanya, DJP tidak menerapkan pajak apabila...",Hoax,TurnBackHoax
[SALAH] DJP Pungut Pajak Masyarakat yang Jogging...,Hoax,TurnBackHoax
"[SALAH] Prabowo Tetapkan 28 Agustus Libur Bersama,...
Faktanya, tidak ada bukti jika benar...",Hoax,TurnBackHoax
"[SALAH] Prabowo Tetapkan 28 Agustus Libur Bersama,...",Hoax,TurnBackHoax
"[PENIPUAN] Tautan Pendaftaran BPJS Kesehatan Gratis 2026
Faktanya, tautan tersebut bukan saluran resmi...",Hoax,TurnBackHoax
[PENIPUAN] Tautan Pendaftaran BPJS Kesehatan Gratis 2026,Hoax,TurnBackHoax
"[SALAH] Vaksin Hepatitis B Berbahaya dan Sebabkan...
Faktanya, vaksin Hepatitis B berbahaya dan...",Hoax,TurnBackHoax
[SALAH] Vaksin Hepatitis B Berbahaya dan Sebabkan...,Hoax,TurnBackHoax
